PARRALES/POTREROS,VARIEDAD,SUPERFICIE,CABEZAL
1,-,2.4,MANTO
2,FLAME,3,1
3,-,2.2,MANTO
4,FIESTA,2.85,1
5,FIESTA,2.85,1
6,RED GLOBE,4,2
7,FLAME,4,2
8,SYRAH,2.8,4
9,RED GLOBE,2.2,1
10,FLAME,3,2
11,FLAME,4,2
12,FLAME,2.94,3
13,FLAME,2.5,3
14,ASPIRANT,2.5,3
15,FLAME,2.5,3
16,FLAME,2.5,3
17,-,3.37,-MANTO
18,-,-,-
19,-,-,-
20,PASERO 1,2.9,-
21,FLAME,4.21,3
22,ALFALFA,5.1,MANTO
23,-,23,MANTO
24,-,7,MANTO
25,ALFALFA,5.2,MANTO
26,-,3,MANTO
27,ALQUILADO,4.63,MANTO
28,-,5.4,MANTO
29,-,5.47,MANTO
PSUL,SULTANINA,4.4,1
PBV,BONARDA,2,4
PSY-RG,SY-RG,2.8,4
PBN,BONARDA,2,4
